"행정구역별(읍면동)","시점",총인구 (명)
"종로구","2015",161521
"종로구","2016",154398
"종로구","2017",157277
"종로구","2018",157967
"종로구","2019",154969
"중구","2015",128478
"중구","2016",128160
"중구","2017",127896
"중구","2018",129797
"중구","2019",130957
"용산구","2015",227282
"용산구","2016",224993
"용산구","2017",223898
"용산구","2018",226938
"용산구","2019",227181
"성동구","2015",295006
"성동구","2016",294744
"성동구","2017",302367
"성동구","2018",306796
"성동구","2019",299688
"광진구","2015",368199
"광진구","2016",363979
"광진구","2017",363934
"광진구","2018",362304
"광진구","2019",359766
"동대문구","2015",364787
"동대문구","2016",359935
"동대문구","2017",357380
"동대문구","2018",358141
"동대문구","2019",355094
"중랑구","2015",403237
"중랑구","2016",399317
"중랑구","2017",396892
"중랑구","2018",391668
"중랑구","2019",386331
"성북구","2015",456844
"성북구","2016",451800
"성북구","2017",445417
"성북구","2018",438734
"성북구","2019",445327
"강북구","2015",319992
"강북구","2016",316212
"강북구","2017",313698
"강북구","2018",309138
"강북구","2019",303871
"도봉구","2015",340095
"도봉구","2016",336745
"도봉구","2017",332586
"도봉구","2018",328243
"도봉구","2019",323543
"노원구","2015",562996
"노원구","2016",555420
"노원구","2017",543499
"노원구","2018",534096
"노원구","2019",522480
"은평구","2015",478374
"은평구","2016",472242
"은평구","2017",466243
"은평구","2018",462552
"은평구","2019",461530
"서대문구","2015",308768
"서대문구","2016",320258
"서대문구","2017",321345
"서대문구","2018",318874
"서대문구","2019",319394
"마포구","2015",381330
"마포구","2016",375142
"마포구","2017",368841
"마포구","2018",368181
"마포구","2019",369327
"양천구","2015",465512
"양천구","2016",460267
"양천구","2017",452111
"양천구","2018",445591
"양천구","2019",440354
"강서구","2015",570507
"강서구","2016",574287
"강서구","2017",581675
"강서구","2018",578539
"강서구","2019",574097
"구로구","2015",444832
"구로구","2016",442165
"구로구","2017",436869
"구로구","2018",433765
"구로구","2019",435560
"금천구","2015",250690
"금천구","2016",247819
"금천구","2017",249930
"금천구","2018",249344
"금천구","2019",249747
"영등포구","2015",406528
"영등포구","2016",398120
"영등포구","2017",393560
"영등포구","2018",395286
"영등포구","2019",394083
"동작구","2015",407894
"동작구","2016",404076
"동작구","2017",400236
"동작구","2018",397980
"동작구","2019",400368
"관악구","2015",519622
"관악구","2016",515648
"관악구","2017",511222
"관악구","2018",510303
"관악구","2019",507828
"서초구","2015",420804
"서초구","2016",419682
"서초구","2017",414550
"서초구","2018",409491
"서초구","2019",404960
"강남구","2015",541688
"강남구","2016",532469
"강남구","2017",522514
"강남구","2018",507810
"강남구","2019",509199
"송파구","2015",634941
"송파구","2016",628212
"송파구","2017",633953
"송파구","2018",638167
"송파구","2019",648600
"강동구","2015",444385
"강동구","2016",429416
"강동구","2017",423978
"강동구","2018",414231
"강동구","2019",415287
"중구","2015",45377
"중구","2016",44514
"중구","2017",43799
"중구","2018",42766
"중구","2019",41958
"서구","2015",111996
"서구","2016",109916
"서구","2017",106924
"서구","2018",107028
"서구","2019",105847
"동구","2015",89202
"동구","2016",87065
"동구","2017",86106
"동구","2018",84557
"동구","2019",85673
"영도구","2015",129515
"영도구","2016",126638
"영도구","2017",123531
"영도구","2018",120731
"영도구","2019",117959
"부산진구","2015",376321
"부산진구","2016",370250
"부산진구","2017",366492
"부산진구","2018",357723
"부산진구","2019",352390
"동래구","2015",262154
"동래구","2016",262054
"동래구","2017",261671
"동래구","2018",258386
"동래구","2019",260986
"남구","2015",283741
"남구","2016",279802
"남구","2017",275941
"남구","2018",282645
"남구","2019",278849
"북구","2015",299182
"북구","2016",303445
"북구","2017",296945
"북구","2018",291675
"북구","2019",285098
"해운대구","2015",409037
"해운대구","2016",408042
"해운대구","2017",399363
"해운대구","2018",396311
"해운대구","2019",392846
"사하구","2015",334762
"사하구","2016",331881
"사하구","2017",330293
"사하구","2018",326655
"사하구","2019",319828
"금정구","2015",249444
"금정구","2016",247752
"금정구","2017",246891
"금정구","2018",247971
"금정구","2019",244726
"강서구","2015",92628
"강서구","2016",106106
"강서구","2017",116702
"강서구","2018",121351
"강서구","2019",128809
"연제구","2015",203527
"연제구","2016",201181
"연제구","2017",201053
"연제구","2018",199887
"연제구","2019",203959
"수영구","2015",173069
"수영구","2016",172667
"수영구","2017",173059
"수영구","2018",170296
"수영구","2019",170414
"사상구","2015",240709
"사상구","2016",235080
"사상구","2017",231587
"사상구","2018",226961
"사상구","2019",222618
"기장군","2015",148073
"기장군","2016",154091
"기장군","2017",156561
"기장군","2018",160335
"기장군","2019",160732
"중구","2015",78334
"중구","2016",77234
"중구","2017",75324
"중구","2018",76935
"중구","2019",75561
"동구","2015",339608
"동구","2016",341583
"동구","2017",340396
"동구","2018",342396
"동구","2019",337439
"서구","2015",202963
"서구","2016",197210
"서구","2017",191414
"서구","2018",183857
"서구","2019",175243
"남구","2015",160164
"남구","2016",155833
"남구","2017",152785
"남구","2018",150132
"남구","2019",147500
"북구","2015",450579
"북구","2016",446632
"북구","2017",445293
"북구","2018",444759
"북구","2019",446050
"수성구","2015",437328
"수성구","2016",432714
"수성구","2017",425546
"수성구","2018",418834
"수성구","2019",415283
"달서구","2015",607224
"달서구","2016",596901
"달서구","2017",583043
"달서구","2018",576746
"달서구","2019",574390
"달성군","2015",189852
"달성군","2016",212895
"달성군","2017",239240
"달성군","2018",250753
"달성군","2019",258474
"중구","2015",112910
"중구","2016",113135
"중구","2017",115153
"중구","2018",119514
"중구","2019",131863
"동구","2015",71054
"동구","2016",69449
"동구","2017",68171
"동구","2018",65185
"동구","2019",63003
"남구","2015",405746
"남구","2016",416414
"남구","2017",421851
"연수구","2015",317172
"연수구","2016",329886
"연수구","2017",337595
"연수구","2018",349963
"연수구","2019",374413
"남동구","2015",527324
"남동구","2016",528939
"남동구","2017",534050
"남동구","2018",537389
"남동구","2019",533119
"부평구","2015",548461
"부평구","2016",544319
"부평구","2017",538236
"부평구","2018",525014
"부평구","2019",514385
"계양구","2015",327311
"계양구","2016",323196
"계양구","2017",318104
"계양구","2018",307598
"계양구","2019",298912
"서구","2015",499540
"서구","2016",506040
"서구","2017",509776
"서구","2018",532713
"서구","2019",540655
"미추홀구","2018",415102
"미추홀구","2019",411612
"강화군","2015",62291
"강화군","2016",62741
"강화군","2017",63737
"강화군","2018",64432
"강화군","2019",65235
"옹진군","2015",18642
"옹진군","2016",18905
"옹진군","2017",19294
"옹진군","2018",19207
"옹진군","2019",19040
"동구","2015",104173
"동구","2016",101293
"동구","2017",100914
"동구","2018",99870
"동구","2019",103754
"서구","2015",305512
"서구","2016",309176
"서구","2017",306054
"서구","2018",302189
"서구","2019",298033
"남구","2015",221759
"남구","2016",220733
"남구","2017",219256
"남구","2018",217345
"남구","2019",217972
"북구","2015",459715
"북구","2016",453155
"북구","2017",450323
"북구","2018",450023
"북구","2019",446661
"광산구","2015",411722
"광산구","2016",417200
"광산구","2017",419625
"광산구","2018",420665
"광산구","2019",423310
"동구","2015",247975
"동구","2016",243612
"동구","2017",239752
"동구","2018",237297
"동구","2019",237273
"중구","2015",250434
"중구","2016",246904
"중구","2017",243540
"중구","2018",239284
"중구","2019",234995
"서구","2015",491507
"서구","2016",491430
"서구","2017",487449
"서구","2018",484492
"서구","2019",480920
"유성구","2015",350015
"유성구","2016",359057
"유성구","2017",366639
"유성구","2018",365833
"유성구","2019",366544
"대덕구","2015",198463
"대덕구","2016",194442
"대덕구","2017",188469
"대덕구","2018",184308
"대덕구","2019",179107
"중구","2015",236988
"중구","2016",236954
"중구","2017",233343
"중구","2018",227054
"중구","2019",219428
"남구","2015",341363
"남구","2016",338196
"남구","2017",333117
"남구","2018",327561
"남구","2019",322135
"동구","2015",176861
"동구","2016",176574
"동구","2017",172306
"동구","2018",166992
"동구","2019",162104
"북구","2015",188664
"북구","2016",192203
"북구","2017",196147
"북구","2018",203675
"북구","2019",213524
"울주군","2015",222739
"울주군","2016",222106
"울주군","2017",222164
"울주군","2018",224834
"울주군","2019",226501
"수원시","2015",1194313
"수원시","2016",1207032
"수원시","2017",1216996
"수원시","2018",1218843
"수원시","2019",1214986
"성남시","2015",948757
"성남시","2016",951518
"성남시","2017",944297
"성남시","2018",931393
"성남시","2019",919895
"의정부시","2015",421579
"의정부시","2016",424722
"의정부시","2017",426530
"의정부시","2018",432286
"의정부시","2019",440357
"안양시","2015",585177
"안양시","2016",582049
"안양시","2017",576697
"안양시","2018",566574
"안양시","2019",557339
"부천시","2015",843794
"부천시","2016",844043
"부천시","2017",845514
"부천시","2018",848756
"부천시","2019",836751
"광명시","2015",338509
"광명시","2016",334361
"광명시","2017",328253
"광명시","2018",323460
"광명시","2019",313462
"평택시","2015",457873
"평택시","2016",472254
"평택시","2017",486077
"평택시","2018",504485
"평택시","2019",521172
"동두천시","2015",97424
"동두천시","2016",98625
"동두천시","2017",97373
"동두천시","2018",97535
"동두천시","2019",96541
"안산시","2015",747035
"안산시","2016",743072
"안산시","2017",733661
"안산시","2018",720105
"안산시","2019",714650
"고양시","2015",990073
"고양시","2016",999098
"고양시","2017",1005102
"고양시","2018",1006992
"고양시","2019",1024645
"과천시","2015",64817
"과천시","2016",60923
"과천시","2017",53583
"과천시","2018",53740
"과천시","2019",53830
"구리시","2015",180063
"구리시","2016",183905
"구리시","2017",189741
"구리시","2018",195868
"구리시","2019",192270
"남양주시","2015",629061
"남양주시","2016",641589
"남양주시","2017",644936
"남양주시","2018",661866
"남양주시","2019",681077
"오산시","2015",213840
"오산시","2016",215478
"오산시","2017",219877
"오산시","2018",228059
"오산시","2019",233998
"시흥시","2015",425184
"시흥시","2016",429321
"시흥시","2017",446369
"시흥시","2018",480201
"시흥시","2019",508749
"군포시","2015",285721
"군포시","2016",284301
"군포시","2017",280913
"군포시","2018",276860
"군포시","2019",275154
"의왕시","2015",154879
"의왕시","2016",153629
"의왕시","2017",151852
"의왕시","2018",149599
"의왕시","2019",155826
"하남시","2015",154838
"하남시","2016",195422
"하남시","2017",218994
"하남시","2018",238592
"하남시","2019",260544
"용인시","2015",971327
"용인시","2016",982590
"용인시","2017",996260
"용인시","2018",1026126
"용인시","2019",1052529
"파주시","2015",415345
"파주시","2016",423957
"파주시","2017",430650
"파주시","2018",447906
"파주시","2019",454328
"이천시","2015",209003
"이천시","2016",214766
"이천시","2017",218798
"이천시","2018",220599
"이천시","2019",222995
"안성시","2015",194765
"안성시","2016",196362
"안성시","2017",198832
"안성시","2018",201135
"안성시","2019",202284
"김포시","2015",352683
"김포시","2016",365770
"김포시","2017",392438
"김포시","2018",424865
"김포시","2019",442910
"화성시","2015",608725
"화성시","2016",655350
"화성시","2017",708569
"화성시","2018",777295
"화성시","2019",838635
"광주시","2015",310278
"광주시","2016",322302
"광주시","2017",341046
"광주시","2018",364178
"광주시","2019",375238
"양주시","2015",205988
"양주시","2016",207009
"양주시","2017",212631
"양주시","2018",217776
"양주시","2019",224684
"포천시","2015",163388
"포천시","2016",162698
"포천시","2017",161239
"포천시","2018",161564
"포천시","2019",159871
"여주시","2015",109937
"여주시","2016",110273
"여주시","2017",111476
"여주시","2018",112096
"여주시","2019",111981
"연천군","2015",43846
"연천군","2016",44437
"연천군","2017",43990
"연천군","2018",43383
"연천군","2019",42540
"가평군","2015",58909
"가평군","2016",59391
"가평군","2017",59548
"가평군","2018",59957
"가평군","2019",59823
"양평군","2015",101930
"양평군","2016",105709
"양평군","2017",109359
"양평군","2018",111094
"양평군","2019",111836
"춘천시","2015",281596
"춘천시","2016",283027
"춘천시","2017",283742
"춘천시","2018",284985
"춘천시","2019",284753
"원주시","2015",330854
"원주시","2016",337479
"원주시","2017",341338
"원주시","2018",344168
"원주시","2019",349319
"강릉시","2015",215677
"강릉시","2016",215977
"강릉시","2017",215914
"강릉시","2018",215528
"강릉시","2019",216357
"동해시","2015",90255
"동해시","2016",89527
"동해시","2017",89151
"동해시","2018",87830
"동해시","2019",86780
"태백시","2015",46715
"태백시","2016",45708
"태백시","2017",44733
"태백시","2018",43488
"태백시","2019",42474
"속초시","2015",79846
"속초시","2016",79109
"속초시","2017",78618
"속초시","2018",78312
"속초시","2019",78643
"삼척시","2015",69509
"삼척시","2016",69364
"삼척시","2017",67860
"삼척시","2018",67881
"삼척시","2019",67210
"홍천군","2015",67190
"홍천군","2016",66791
"홍천군","2017",67168
