"시군구별","시점",지역내총생산(시장가격)
"시군구별","시점",당해년가격
"제주시","2015",12178463
"제주시","2016",13463552
"제주시","2017",14044135
"제주시","2018",14343720
"제주시","2019",14859505
"서귀포시","2015",4768246
"서귀포시","2016",5255821
"서귀포시","2017",5936937
"서귀포시","2018",5707401
"서귀포시","2019",5449232
